node_name,Degree,Closeness,Betweenness
MDM2,43,46.5,77.8467
EP300,41,45.5,77.224
MYC,41,45.5,49.87226
BCL2,40,45,85.57816
CDKN2A,40,45,47.03288
ATM,40,45,43.84232
BRCA1,40,45,40.92754
HSP90AA1,39,44.5,43.7019
SIRT1,37,43.5,60.72087
HDAC1,37,43.5,28.00755
PTEN,35,42.5,22.22172
JUN,35,42.5,21.70246
CDKN1A,34,42,43.3296
HIF1A,32,41,31.27889
CHEK2,32,41,26.7917
CCNA2,32,41,16.18649
KAT5,31,40.5,28.78383
CREBBP,30,40,18.25259
HSPA4,29,39.5,23.1504
CHEK1,29,39.5,12.74115
CREB1,29,39.5,11.05737
BCL2L1,28,39,21.78033
MAPK8,28,39,16.77721
DNMT1,28,39,8.51924
FOXO3,27,38.5,5.29342
USP7,25,37.5,13.84368
PRKDC,25,37.5,7.81864
MAPK1,25,37.5,5.91943
MDM4,24,37,19.16917
NPM1,24,37,18.44419
AURKA,24,37,14.20443
RAD51,24,37,5.58731
TP53BP1,23,36.5,10.78359
ATR,21,35.5,6.17226
DAXX,20,35,4.07147
TBP,19,34.5,4.67529
UBE3A,17,33.5,18.18119
HTT,17,33.5,3.62409
HMGB1,16,33,1.83667
RPA1,15,32.5,3.74812
SFN,15,32.5,2.67226
HIPK2,13,31.5,2.54878
CCNG1,11,30.5,0.84252
DDX5,11,30.5,0.35025
RCHY1,10,30,2.65899
HSPA9,9,29.5,0.94134
TP53BP2,8,29,1.95902
PPP1R13L,6,28,0.53571
BAK1,5,27.5,0
NDN,4,27,0.2967
