#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATM	SIRT1	9606.ENSP00000278616	9606.ENSP00000212015	0	0	0	0	0.049	0	0	0.855	0.856
ATM	MAPK1	9606.ENSP00000278616	9606.ENSP00000215832	0	0	0	0	0.123	0.300	0	0.434	0.622
ATM	AURKA	9606.ENSP00000278616	9606.ENSP00000216911	0	0	0	0	0	0.071	0	0.507	0.522
ATM	RPA1	9606.ENSP00000278616	9606.ENSP00000254719	0	0	0	0	0.047	0.660	0.500	0.611	0.928
ATM	MDM2	9606.ENSP00000278616	9606.ENSP00000258149	0	0	0	0	0.092	0.621	0.750	0.955	0.995
ATM	CREBBP	9606.ENSP00000278616	9606.ENSP00000262367	0	0	0	0	0.060	0	0	0.487	0.497
ATM	EP300	9606.ENSP00000278616	9606.ENSP00000263253	0	0	0	0	0.074	0	0	0.900	0.904
ATM	DAXX	9606.ENSP00000278616	9606.ENSP00000266000	0	0	0	0	0.103	0.314	0	0.720	0.813
ATM	TP53	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0.103	0.928	0.900	0.975	0.999
ATM	HIPK2	9606.ENSP00000278616	9606.ENSP00000385571	0	0	0	0	0	0	0	0.492	0.492
ATM	HSPA4	9606.ENSP00000278616	9606.ENSP00000302961	0	0	0	0	0.042	0	0	0.536	0.536
ATM	JUN	9606.ENSP00000278616	9606.ENSP00000360266	0	0	0	0	0	0	0	0.565	0.565
ATM	USP7	9606.ENSP00000278616	9606.ENSP00000343535	0	0	0	0	0.114	0	0	0.545	0.579
ATM	CCNG1	9606.ENSP00000278616	9606.ENSP00000344635	0	0	0	0	0.056	0.079	0	0.571	0.595
ATM	SFN	9606.ENSP00000278616	9606.ENSP00000340989	0	0	0	0	0.042	0.313	0	0.447	0.604
ATM	BCL2L1	9606.ENSP00000278616	9606.ENSP00000365230	0	0	0	0	0.060	0	0	0.609	0.617
ATM	HTT	9606.ENSP00000278616	9606.ENSP00000347184	0	0	0	0	0.049	0	0	0.619	0.622
ATM	NPM1	9606.ENSP00000278616	9606.ENSP00000296930	0	0	0	0	0.043	0.292	0	0.527	0.651
ATM	HIF1A	9606.ENSP00000278616	9606.ENSP00000437955	0	0	0	0	0.049	0.292	0	0.574	0.688
ATM	DNMT1	9606.ENSP00000278616	9606.ENSP00000352516	0	0	0	0	0.064	0.095	0	0.671	0.696
ATM	BCL2	9606.ENSP00000278616	9606.ENSP00000381185	0	0	0	0	0.110	0	0	0.690	0.712
ATM	CREB1	9606.ENSP00000278616	9606.ENSP00000387699	0	0	0	0	0.157	0.510	0	0.410	0.735
ATM	HSP90AA1	9606.ENSP00000278616	9606.ENSP00000335153	0	0	0	0	0.042	0	0	0.785	0.785
ATM	MAPK8	9606.ENSP00000278616	9606.ENSP00000378974	0	0	0	0	0.090	0.292	0.500	0.432	0.792
ATM	CDKN1A	9606.ENSP00000278616	9606.ENSP00000384849	0	0	0	0	0	0	0	0.807	0.807
ATM	CCNA2	9606.ENSP00000278616	9606.ENSP00000481380	0	0	0	0	0	0	0.500	0.645	0.815
ATM	FOXO3	9606.ENSP00000278616	9606.ENSP00000339527	0	0	0	0	0.052	0.292	0	0.761	0.826
ATM	CDKN2A	9606.ENSP00000278616	9606.ENSP00000418915	0	0	0	0	0.042	0.053	0	0.845	0.847
ATM	MYC	9606.ENSP00000278616	9606.ENSP00000478887	0	0	0	0	0.060	0.129	0	0.855	0.871
ATM	PTEN	9606.ENSP00000278616	9606.ENSP00000361021	0	0	0	0	0.087	0	0	0.892	0.897
ATM	HDAC1	9606.ENSP00000278616	9606.ENSP00000362649	0	0	0	0	0.076	0.331	0	0.923	0.948
ATM	MDM4	9606.ENSP00000278616	9606.ENSP00000356150	0	0	0	0	0.162	0	0.750	0.801	0.954
ATM	PRKDC	9606.ENSP00000278616	9606.ENSP00000313420	0	0	0	0.548	0.158	0.413	0.900	0.489	0.971
ATM	RAD51	9606.ENSP00000278616	9606.ENSP00000493712	0	0	0	0	0	0.485	0.800	0.958	0.995
ATM	KAT5	9606.ENSP00000278616	9606.ENSP00000340330	0	0	0	0	0.053	0.630	0.900	0.936	0.997
ATM	CHEK1	9606.ENSP00000278616	9606.ENSP00000391090	0	0	0	0	0.050	0.449	0.900	0.974	0.998
ATM	BRCA1	9606.ENSP00000278616	9606.ENSP00000418960	0	0	0	0	0.042	0.847	0.900	0.999	0.999
ATM	CHEK2	9606.ENSP00000278616	9606.ENSP00000372023	0	0	0	0	0.044	0.836	0.500	0.999	0.999
ATM	ATR	9606.ENSP00000278616	9606.ENSP00000343741	0	0	0	0.564	0.213	0.974	0.900	0.745	0.999
ATM	TP53BP1	9606.ENSP00000278616	9606.ENSP00000371475	0	0	0	0	0.042	0.874	0.500	0.995	0.999
ATR	SIRT1	9606.ENSP00000343741	9606.ENSP00000212015	0	0	0	0	0.129	0.095	0	0.406	0.491
ATR	RPA1	9606.ENSP00000343741	9606.ENSP00000254719	0	0	0	0	0.049	0.925	0.500	0.594	0.983
ATR	MDM2	9606.ENSP00000343741	9606.ENSP00000258149	0	0	0	0	0.067	0	0	0.447	0.461
ATR	EP300	9606.ENSP00000343741	9606.ENSP00000263253	0	0	0	0	0.049	0.329	0	0.310	0.522
ATR	TP53	9606.ENSP00000343741	9606.ENSP00000269305	0	0	0	0	0	0.838	0.900	0.781	0.996
ATR	NPM1	9606.ENSP00000343741	9606.ENSP00000296930	0	0	0	0	0.063	0.292	0	0.176	0.405
ATR	HSPA4	9606.ENSP00000343741	9606.ENSP00000302961	0	0	0	0	0.077	0.303	0	0.169	0.419
ATR	PRKDC	9606.ENSP00000343741	9606.ENSP00000313420	0	0	0	0.550	0.157	0.250	0	0.481	0.643
ATR	HSP90AA1	9606.ENSP00000343741	9606.ENSP00000335153	0	0	0	0	0.056	0.381	0	0.347	0.585
ATR	KAT5	9606.ENSP00000343741	9606.ENSP00000340330	0	0	0	0	0	0.071	0.500	0.374	0.684
ATR	CDKN1A	9606.ENSP00000343741	9606.ENSP00000384849	0	0	0	0	0	0	0	0.410	0.410
ATR	CCNG1	9606.ENSP00000343741	9606.ENSP00000344635	0	0	0	0	0.050	0.309	0	0.189	0.421
